country,location_name,latitude,longitude,timezone,temperature_celsius,condition_text,wind_mph,wind_kph,wind_direction,precip_mm,precip_in,humidity,cloud,feels_like_celsius,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_us-epa-index,air_quality_gb-defra-index
Jamaica,Norman Gardens,17.97,-76.75,America/Jamaica,32,Partly cloudy,19.2,31,ESE,0,0,67,25,44,534.1,28.6,6.9,1,1
Japan,Tokyo,35.69,139.69,Asia/Tokyo,30,Partly cloudy,8.1,13,SSW,0,0,66,25,34.2,200.3,15.9,22.3,1,2
Jordan,Amman,31.95,35.93,Asia/Amman,24,Clear,2.2,3.6,N,0,0,36,0,24.9,223.6,52.2,8.8,1,2
Kazakhstan,Astana,51.18,71.43,Asia/Almaty,8,Clear,16.1,25.9,S,0,0,76,0,4.8,223.6,44,3,1,1
Kenya,Nairobi,-1.28,36.82,Africa/Nairobi,17,Partly cloudy,4.3,6.8,ENE,0,0,77,75,17,460.6,35.8,4.1,1,1
Kiribati,Tarawa,-0.88,169.53,Pacific/Tarawa,29.1,Patchy rain possible,9.6,15.5,E,0.2,0.01,73,75,33.6,166.9,8.6,0,1,1
Kuwait,Kuwait City,29.37,47.96,Asia/Kuwait,34.7,Clear,11.9,19.1,NNW,0,0,35,0,36.2,267,144.5,3.9,2,3
Kyrghyzstan,Bishkek,42.87,74.6,Asia/Bishkek,15.5,Overcast,5.8,9.4,WNW,0,0,72,94,15.5,210.3,73,1.4,1,1
Indonesia,Laos,-8.18,114.32,Asia/Jakarta,20.6,Partly cloudy,2.7,4.3,SSW,0,0,93,46,20.6,487.3,21.8,6.9,2,2
Latvia,Riga,56.95,24.1,Europe/Riga,19,Overcast,4.3,6.8,SE,0,0,94,100,19,220.3,28.6,3.6,1,1
Lebanon,Beirut,33.87,35.51,Asia/Beirut,27,Partly cloudy,4.3,6.8,ESE,0,0,79,75,29.5,233.7,83.7,2,2,2
Lesotho,Maseru,-29.32,27.48,Africa/Johannesburg,10.6,Clear,2.2,3.6,ENE,0,0,33,0,11,627.5,29.3,12.5,3,7
Liberia,Monrovia,6.31,-10.8,Africa/Monrovia,26,Partly cloudy,2.2,3.6,N,0.3,0.01,89,75,29.6,320.4,36.5,0.3,1,1
Thailand,Nan,18.78,100.78,Asia/Bangkok,25,Partly cloudy,2.5,4,NE,0.2,0.01,100,75,28.5,370.5,19.1,0.9,1,1
Liechtenstein,Vaduz,47.13,9.52,Europe/Vaduz,16,Partly cloudy,2.2,3.6,SSW,0.5,0.02,68,75,16,176.9,33.3,3.4,1,1
Lithuania,Vilnius,54.68,25.32,Europe/Vilnius,19,Overcast,10.5,16.9,S,0,0,94,100,19,220.3,33.3,2.3,1,1
Luxembourg,Luxembourg,49.61,6.13,Europe/Luxembourg,10,Clear,8.1,13,WNW,0,0,94,0,9.3,233.7,38.6,4.4,1,1
Madagascar,Antananarivo,-18.92,47.52,Indian/Antananarivo,13,Partly cloudy,12.5,20.2,SE,0,0,77,75,11.9,290.4,45.1,0.9,1,1
Malawi,Lilongwe,-13.98,33.78,Africa/Blantyre,13,Clear,6.9,11.2,S,0,0,72,0,12.2,333.8,43.3,1.8,1,1
Malaysia,Kuala Lumpur,3.17,101.7,Asia/Kuala_Lumpur,26,Partly cloudy,2.2,3.6,W,0.4,0.02,89,25,30,3364.6,0,38.4,4,10
Maldives,Farukolhufunadhoo,6.15,73.27,Indian/Maldives,26,Light rain shower,20.1,32.4,WNW,2,0.08,85,84,29.1,171.9,34.7,0.5,1,1
Mali,Bamako,12.65,-8,Africa/Bamako,26,Partly cloudy,2.5,4,N,0,0,89,25,28.2,554.1,2.7,2.4,1,1
Malta,Valletta,35.9,14.51,Europe/Malta,24,Partly cloudy,8.1,13,E,0,0,83,25,25.6,201.9,80.8,3.8,1,1
Marshall Islands,Majuro,7.1,171.38,Pacific/Majuro,31,Partly cloudy,5.6,9,S,0.3,0.01,71,75,39.5,168.6,29.3,0,1,1
Mauritania,Nouakchott,18.09,-15.98,Africa/Nouakchott,26.3,Light rain shower,19,30.6,SW,0.2,0.01,84,88,29.4,330.5,35.4,0.6,1,1
Mauritius,Port Louis,-20.16,57.5,Indian/Mauritius,21,Partly cloudy,9.4,15.1,SSE,0,0,69,25,21,208.6,46.5,1.7,1,1
